,latitude,longitude,town,cluster,sub_cluster
3569,52.84262,-1.336594,"Castle Donington,",-1,0
3570,52.84262,-1.336594,"Castle Donington,",-1,0
3571,52.739946,-1.353977,"Coalville,",-1,0
3572,52.739946,-1.353977,"Coalville,",-1,0
3592,52.343756,-6.490731,Co.Wexford,-1,-1
3609,54.578798,-1.239281,London,-1,0
3643,53.431255,-2.354478,Trafford,-1,0
3646,51.431121,-0.519306,Spelthorne,-1,0
3650,53.303671,-2.93159,Cheshire West and Chester,-1,0
3687,51.577401,0.003291,Waltham Forest,-1,0
3695,56.079562,-3.49009,Fife,-1,0
3696,56.128027,-3.170135,Fife,-1,0
3716,51.539,0.079,Barking and Dagenham,-1,0
3732,52.826388,-1.332192,North West Leicestershire,-1,0
3733,52.826348,-1.332196,North West Leicestershire,-1,0
3753,51.625819,-0.505897,Three Rivers,-1,0
3754,51.799194,-1.539524,West Oxfordshire,-1,0
3755,55.608441,-4.635639,North Ayrshire,-1,0
3790,51.57472,-3.294382,Cynon Taf,-1,0
3791,52.792402,0.10653,Long Sutton,-1,0
3835,51.657894,-3.924893,West Glamorgan,-1,0
3860,55.809681,-4.347824,Strathclyde,-1,0
3878,53.537056,-0.046601,North Lincolnshire,-1,0
3899,51.77099,-0.942309,Haddenham,-1,0
3907,51.284828,-3.008491,Burham-on-Sea,-1,0
3908,52.456209,-0.113178,Cambridgeshire,-1,0
3912,51.413753,-2.494591,Keynsham,-1,0
3917,51.351462,-2.384834,Bath and North East Somerset,-1,0
3918,51.351545,-2.384761,Bath and North East Somerset,-1,0
3942,52.341775,-2.278401,Stourport-on-Severn,-1,0
3965,52.378389,-2.484768,Worcestershire,-1,0
4059,51.603436,0.085327,Hainault,-1,0
4077,52.981389,-3.411742,Denbighshire,-1,0
4103,53.168727,-1.048149,Nottinghamshire,-1,0
4104,53.168727,-1.048149,Nottinghamshire,-1,0
4138,53.702639,-1.27333,Knottingley,-1,0
4216,52.037951,-4.470243,Newcastle Emlyn,-1,0
4219,51.134813,-4.241677,Croyde,-1,0
4220,54.916304,-1.382191,Tyne And Wear,-1,0
4253,51.273183,0.395401,King's Hill,-1,0
4258,51.273116,0.395359,King's Hill,-1,0
4281,51.436639,-0.380371,Hanworth,-1,0
4319,52.374916,-2.04212,Worcestershire,-1,0
4328,54.713454,-1.745023,Crook,-1,0
4368,53.45063,-2.726785,Merseyside,-1,0
4370,52.799187,-0.128941,Lincolnshire,-1,0
4389,50.334477,-4.641618,Fowey,-1,0
4413,54.384564,-2.915923,Windermere,-1,0
4422,53.807226,-1.661348,Stanningley,-1,0
4430,53.701457,-1.63701,West Yorkshire,-1,0
4456,55.291966,-4.824596,Ayrshire,-1,0
4458,51.411668,-0.311761,Kingston-upon-Thames,-1,0
4460,51.897965,-0.671594,Bedfordshire,-1,0
4473,57.879054,-4.023705,Dornoch,-1,0
4476,53.020457,-4.121039,Wales,-1,0
4485,56.188826,-4.781272,Argyll and Bute,-1,0
4487,50.765774,-3.285643,Ottery St Mary,-1,0
4490,51.941325,-3.411675,Llanfaes,-1,0
4545,52.463239,-2.115709,Lye,-1,0
4583,53.558719,-0.03039,Cleethorpes,-1,0
4589,51.414824,-0.412636,Sunbury-on-Thames,-1,0
4609,53.713561,-2.091204,Todmorden,-1,0
4611,55.934744,-4.693144,Port Glasgow,-1,0
4655,53.681226,-0.453909,Barton,-1,0
4658,51.82639,-3.684493,Swansea Valley,-1,0
4703,52.904231,-4.328888,Gwynedd,-1,0
4704,52.906129,-4.333554,Gwynedd,-1,0
4775,51.686669,-0.73467,Great Missenden,-1,0
4785,51.55438,0.687133,Westcliff-on-Sea,-1,0
4789,53.865658,-1.689713,Yeadon,-1,0
4790,53.865658,-1.689713,Yeadon,-1,0
4799,51.365805,-0.151378,Wallington,-1,0
4802,52.455443,-1.199698,Leicestershire,-1,0
4803,54.77693,-1.540797,DURHAM,-1,0
4810,54.544312,-2.950479,Ullswater,-1,0
4819,54.364179,-3.066834,Coniston,-1,0
4825,54.36867,-3.07388,Coniston,-1,0
4830,53.746571,-1.47934,Rothwell,-1,0
4834,52.537863,-0.997521,Kibworth Beauchamp,-1,0
4838,51.82639,-3.684493,Swansea Valley,-1,0
4839,53.746571,-1.47934,Rothwell,-1,0
4860,54.294304,-1.983671,Leyburn,-1,0
4867,52.387654,0.228118,Cambs,-1,0
4878,52.387646,0.228169,Cambs,-1,0
4921,53.912911,-0.162098,Hornsea,-1,0
4928,51.652815,-2.231908,Tetbury,-1,0
4939,53.120736,-2.777025,Tattenhall,-1,0
4959,53.120736,-2.777025,Tattenhall,-1,0
4977,53.32858,-3.101767,Wirral,-1,0
4986,53.32858,-3.101767,Wirral,-1,0
5000,54.916331,-1.382123,Tyne And Wear,-1,0
5008,51.596708,-3.782366,Port Talbot,-1,0
5010,51.652815,-2.231908,Tetbury,-1,0
5015,51.596708,-3.782366,Port Talbot,-1,0
5046,55.764006,-2.023793,Berwick-Upon-Tweed,-1,0
5065,52.47296,-2.082047,Cradley Heath,-1,0
5077,52.932628,0.985992,Langham,-1,0
5078,52.47296,-2.082047,Cradley Heath,-1,0
5086,51.23626,-2.983891,Burnham-on-Sea,-1,0
5124,52.932628,0.985992,Langham,-1,0
5137,54.858734,-1.578042,Chester-Le-Street,-1,0
5145,53.237771,-0.512539,Lincolnshire,-1,0
5147,55.999411,-3.839261,Tamfourhill,-1,0
5150,51.113251,-1.488272,Stockbridge,-1,0
5151,53.723015,-0.41707,Hessle,-1,0
5155,53.538509,-2.010826,Saddleworth,-1,0
5158,53.723015,-0.41707,Hessle,-1,0
5161,51.23626,-2.983891,Burnham-on-Sea,-1,0
5169,51.693485,-0.181651,Potters Bar,-1,0
5178,51.693485,-0.181651,Potters Bar,-1,0
5187,54.858734,-1.578042,Chester-Le-Street,-1,0
5247,52.79665,-1.63501,Burton Upon Trent,-1,0
5254,54.517397,-1.317074,Ingleby,-1,0
5269,52.041381,-2.425988,Ledbury,-1,0
5282,50.198237,-5.474041,Saint Ives,-1,0
5285,50.386316,-3.964258,Ivybridge,-1,0
5289,51.804569,-4.970524,Pembrokeshire,-1,0
5293,52.041381,-2.425988,Ledbury,-1,0
5312,50.198233,-5.474045,Saint Ives,-1,0
5325,52.577931,-2.045664,Willenhall,-1,0
5329,50.386316,-3.964258,Ivybridge,-1,0
5346,51.417549,-0.425052,Sunbury-On-Thames,-1,0
5347,53.538509,-2.010826,Saddleworth,-1,0
5354,52.79665,-1.63501,Burton Upon Trent,-1,0
5382,51.417549,-0.425052,Sunbury-On-Thames,-1,0
5398,51.408138,-0.368308,West Molesey,-1,0
5404,51.408138,-0.368308,West Molesey,-1,0
5415,54.84795,-2.054457,Blanchland,-1,0
5419,53.644436,-2.101568,Littleborough,-1,0
5422,53.5311,-2.743155,Pimbo Nr Wigan,-1,0
5428,53.53114,-2.743185,Pimbo Nr Wigan,-1,0
5431,51.279613,-0.960887,Hook,-1,0
5434,50.538491,-4.145488,Tavistock,-1,0
5437,51.279613,-0.960887,Hook,-1,0
5442,50.538491,-4.145488,Tavistock,-1,0
5443,50.769728,-1.899761,Kinson,-1,0
5454,53.283222,-3.812228,Llandudno Junction,-1,0
5481,54.220379,-4.699051,Peel,-1,4
5483,54.220379,-4.699051,Peel,-1,4
5496,54.517397,-1.317074,Ingleby,-1,0
5502,53.283222,-3.812228,Llandudno Junction,-1,0
5504,51.626811,-4.046282,Dunvant,-1,0
5510,53.42447,-2.324096,Sale,-1,0
5536,51.626811,-4.046282,Dunvant,-1,0
5539,55.764006,-2.023793,Berwick-Upon-Tweed,-1,0
5543,53.583927,-1.48802,Mapplewell,-1,0
5560,50.580871,-3.745031,Haytor,-1,0
5566,52.34146,-0.538298,Raunds,-1,0
5574,54.251382,-4.46381,Mountain Road,-1,4
5575,54.074112,-4.652801,Castletown,-1,4
5579,54.204083,-4.639611,St John's,-1,4
5580,54.098087,-4.631318,Ballasalla,-1,4
5582,54.08547,-4.759558,Port Erin,-1,4
5583,54.078505,-4.739692,Port St Mary,-1,4
5595,52.790657,-1.669482,Burton-on-Trent,-1,0
5608,50.995351,-0.21145,Bolney,-1,0
5625,54.074112,-4.652801,Castletown,-1,4
5638,54.003419,-0.438633,Driffield,-1,0
5639,50.87747,0.535352,St Leonards-On-Sea,-1,0
5640,53.42447,-2.324096,Sale,-1,0
5641,53.284642,-3.815667,Conwy,-1,0
5654,50.87747,0.535352,St Leonards-On-Sea,-1,0
5666,54.003419,-0.438633,Driffield,-1,0
5675,52.60088,0.376754,Downham Market,-1,0
5676,50.47474,-3.53023,Torquay,-1,0
5688,52.60088,0.376754,Downham Market,-1,0
5695,52.941007,1.211531,Sheringham,-1,0
5709,53.525767,-1.632927,Penistone,-1,0
5718,52.941007,1.211531,Sheringham,-1,0
5753,52.457,-2.0475,Halesowen,-1,0
5754,53.014955,-1.359495,Heanor,-1,0
5761,50.986303,-2.363197,Henstridge,-1,0
5765,53.014955,-1.359495,Heanor,-1,0
5777,51.5235,0.5553,Canvey Island,-1,0
5784,51.526926,-0.893128,Henley-On-Thames,-1,0
5794,51.5206,0.0686,Beckton,-1,0
5795,51.5206,0.0686,Beckton,-1,0
5834,50.986303,-2.363197,Henstridge,-1,0
5835,51.363168,1.107976,Herne Bay,-1,0
5844,51.526926,-0.893128,Henley-On-Thames,-1,0
5851,54.322557,-4.388301,Ramsey,-1,4
5856,54.145907,-4.48181,Douglas,-1,4
5858,54.145907,-4.48181,Douglas,-1,4
5864,51.4145,-0.1227,Norbury,-1,0
5906,56.017952,-3.603407,Bo Ness,-1,0
5934,51.406137,-0.166461,Mitcham,-1,0
5935,50.606231,-1.975003,Swanage ,-1,0
5937,50.606208,-1.975045,Swanage ,-1,0
5939,51.34662,-0.020213,New Addington,-1,0
5956,51.345567,-0.483448,West Byfleet,-1,0
5957,53.238219,-4.14396,Menai Bridge,-1,0
5961,56.017952,-3.603407,Bo Ness,-1,0
5993,50.820976,-1.852694,Dorset ,-1,0
6020,51.623854,-1.296356,Milton Park,-1,0
6029,51.592634,0.039828,Woodford Green,-1,0
6033,50.505875,-4.307306,Callington,-1,0
6045,55.882634,-2.955858,Midlothain,-1,0
6048,52.323417,-0.069538,Saint Ives,-1,0
6051,51.592634,0.039828,Woodford Green,-1,0
6053,53.690803,-0.442339,Barton-Upon-Humber,-1,0
6068,50.769728,-1.899761,Kinson,-1,0
6070,53.525767,-1.632927,Penistone,-1,0
6073,51.798284,-0.071295,Hertford,-1,0
6080,53.690803,-0.442339,Barton-Upon-Humber,-1,0
6089,51.421333,0.020727,Bromley North,-1,0
6096,51.798284,-0.071295,Hertford,-1,0
6118,50.473423,-3.658692,Newton Abbot,-1,0
6122,50.505875,-4.307306,Callington,-1,0
6153,52.444333,0.618738,Brandon,-1,0
6181,51.411721,-0.139686,Mitcham,-1,0
6183,51.367099,-0.395684,Hersham,-1,0
6188,52.444333,0.618738,Brandon,-1,0
6200,52.380682,-1.775585,Solihul,-1,0
6211,51.321305,-1.79694,Pewsey,-1,0
6237,53.001645,-0.411709,Sleaford,-1,0
6238,50.934864,-1.464774,Nursling,-1,0
6239,51.55224,0.611951,Hadleigh,-1,0
6241,55.935135,-3.456273,Broxburn,-1,0
6242,52.59913,-1.079587,Oadby,-1,0
6246,53.442481,-1.94677,Glossop,-1,0
6258,51.706575,-4.775218,Redberth,-1,0
6266,50.271721,-4.790392,Mevagissey,-1,0
6267,50.271721,-4.790392,Mevagissey,-1,0
6277,51.401041,-0.193666,Morden,-1,0
6279,53.001645,-0.411709,Sleaford,-1,0
6285,52.324859,-0.070796,Saint Ives,-1,0
6288,51.042274,-3.312698,Near Taunton,-1,0
6291,53.1,-1.34,Hardstoft,-1,0
6304,54.152134,-2.469701,Ingleton,-1,0
6305,52.724271,-2.469701,Ingleton,-1,0
6307,54.118785,-2.510175,Bentham,-1,0
6308,54.118785,-2.510175,Bentham,-1,0
6316,50.34631,-4.219384,Millbrook,-1,0
6317,52.688041,-1.397121,Ibstock,-1,0
6318,52.688041,-1.397121,Ibstock,-1,0
6340,51.779606,-1.16374,Stanton St John ,-1,0
6341,51.779606,-1.16374,Stanton St John,-1,0
6382,51.422584,-2.694619,"Backwell, Nailsea",-1,0
6395,51.38586,-2.712836,"Backwell, Nailsea",-1,0
6427,51.276193,0.396768,West Malling,-1,0
6428,51.276193,0.396334,West Malling,-1,0
6429,51.385934,1.382203,Margate,-1,0
6437,51.990817,-1.701073,Moreton-in-Marsh,-1,0
6469,53.063306,-0.963777,Southwell,-1,0
6488,52.038779,-0.335684,Shefford,-1,0
6491,52.499769,0.054942,March,-1,0
6501,52.247562,1.619115,Saxmundham,-1,0
