,ID,latitude,longitude
547,131541,53.85617,-2.36395
548,131958,52.5395,-1.00248
549,133764,54.02185,-1.63521
550,134371,53.164,-1.12154
551,134471,52.9691,-1.00408
552,134762,51.65835,-1.64207
553,136284,51.34853,-0.42176
554,136304,51.37238,-0.44044
555,136309,51.31869,-0.37784
556,136362,51.33656,-0.23693
557,136402,51.24123,-0.54933
558,136519,51.28515,-0.31137
559,136804,51.25463,-0.00951
560,136965,51.33605,-0.49415
561,137268,52.27532,-1.55402
562,137715,50.89854,-0.19384
563,138123,52.11663,-2.19795
564,138587,51.48534,-2.74823
565,138720,51.27048,0.40218
566,138821,51.99122,-2.1007
567,138982,53.80112,-0.34171
568,139163,51.49861,-2.54842
569,139204,53.04706,-0.77079
570,139365,51.50331,0.02417
571,141568,55.98593,-3.74837
